Student ID,Subject,Exam Score,Assignment Score,Participation Score,Attendance Score
1,Math,81,7,6,18
1,Physics,53,2,1,11
1,Chemistry,59,5,1,0
1,Biology,87,5,11,16
1,English,88,9,15,14
1,History,91,2,11,19
1,Computer Science,93,8,2,4
2,Math,80,6,8,6
2,Physics,47,3,13,17
2,Chemistry,38,9,1,19
2,Biology,89,6,11,7
2,English,76,2,13,16
2,History,65,1,7,3
2,Computer Science,31,5,9,3
3,Math,83,1,11,1
3,Physics,91,3,13,15
3,Chemistry,44,7,13,7
3,Biology,82,7,12,8
3,English,58,0,6,8
3,History,30,7,10,18
3,Computer Science,37,2,2,0
4,Math,34,9,6,8
4,Physics,57,6,8,7
4,Chemistry,41,1,0,15
4,Biology,52,7,4,2
4,English,73,7,2,0
4,History,76,2,0,4
4,Computer Science,43,6,8,14
5,Math,44,9,9,12
5,Physics,80,6,16,19
5,Chemistry,33,4,6,12
5,Biology,44,3,12,6
5,English,88,2,1,9
5,History,74,8,5,11
5,Computer Science,73,3,10,6
6,Math,91,0,0,19
6,Physics,32,6,5,7
6,Chemistry,56,8,4,0
6,Biology,80,9,11,14
6,English,88,5,8,19
6,History,91,0,19,11
6,Computer Science,68,1,2,16
7,Math,85,0,16,1
7,Physics,31,5,4,0
7,Chemistry,30,2,1,11
7,Biology,61,5,3,10
7,English,85,0,5,4
7,History,99,5,10,15
7,Computer Science,45,0,8,5
8,Math,32,3,3,18
8,Physics,96,2,19,6
8,Chemistry,81,8,0,7
8,Biology,68,1,7,0
8,English,40,8,17,9
8,History,36,9,15,19
8,Computer Science,89,0,1,0
9,Math,77,4,4,8
9,Physics,48,2,19,0
9,Chemistry,53,3,10,16
9,Biology,65,5,7,19
9,English,54,1,13,17
9,History,95,5,2,15
9,Computer Science,90,8,3,0
10,Math,97,0,13,15
10,Physics,49,7,7,6
10,Chemistry,96,0,0,15
10,Biology,88,2,13,5
10,English,80,5,7,1
10,History,50,0,14,0
10,Computer Science,98,2,3,2
11,Math,93,0,16,11
11,Physics,59,4,5,2
11,Chemistry,66,7,16,13
11,Biology,82,2,0,19
11,English,92,4,0,2
11,History,47,8,9,2
11,Computer Science,75,7,17,14
12,Math,52,1,9,1
12,Physics,46,7,0,8
12,Chemistry,72,5,15,6
12,Biology,71,6,2,17
12,English,54,7,12,6
12,History,86,3,12,19
12,Computer Science,94,7,13,15
13,Math,43,2,14,1
13,Physics,95,6,18,16
13,Chemistry,81,9,5,14
13,Biology,83,4,0,7
13,English,82,4,6,3
13,History,35,3,14,2
13,Computer Science,84,7,19,15
14,Math,42,1,9,18
14,Physics,46,7,18,4
14,Chemistry,91,6,8,11
14,Biology,30,9,0,14
14,English,63,5,15,7
14,History,30,6,4,2
14,Computer Science,55,2,4,13
15,Math,98,0,13,19
15,Physics,98,9,15,6
15,Chemistry,62,4,9,4
15,Biology,63,3,9,18
15,English,87,0,4,12
15,History,33,7,15,1
15,Computer Science,61,3,11,17
16,Math,64,0,0,18
16,Physics,72,4,11,2
16,Chemistry,94,0,7,9
16,Biology,72,1,18,17
16,English,64,6,16,7
16,History,55,9,1,18
16,Computer Science,36,3,17,12
17,Math,58,7,3,3
17,Physics,39,4,8,2
17,Chemistry,78,2,15,3
17,Biology,53,6,4,11
17,English,84,6,2,8
17,History,59,0,16,19
17,Computer Science,42,2,16,3
18,Math,41,8,18,11
18,Physics,38,6,13,19
18,Chemistry,45,4,4,2
18,Biology,41,8,19,3
18,English,82,6,15,6
18,History,82,9,6,13
18,Computer Science,34,2,10,10
19,Math,47,8,9,11
19,Physics,46,5,6,13
19,Chemistry,42,7,9,8
19,Biology,79,9,1,4
19,English,58,4,5,18
19,History,37,0,19,16
19,Computer Science,74,3,3,5
20,Math,60,2,11,6
20,Physics,48,6,2,12
20,Chemistry,42,1,19,7
20,Biology,90,8,6,0
20,English,32,8,16,0
20,History,67,4,5,11
20,Computer Science,74,4,15,10
21,Math,65,2,18,19
21,Physics,86,1,14,8
21,Chemistry,78,0,2,15
21,Biology,86,9,15,7
21,English,53,4,7,3
21,History,37,9,17,4
21,Computer Science,70,3,16,8
22,Math,62,4,19,12
22,Physics,58,2,5,17
22,Chemistry,98,8,1,9
22,Biology,85,1,12,4
22,English,62,5,0,17
22,History,78,4,16,12
22,Computer Science,62,1,8,2
23,Math,30,4,15,5
23,Physics,98,4,5,2
23,Chemistry,82,6,4,4
23,Biology,46,4,13,8
23,English,30,2,12,12
23,History,33,0,16,7
23,Computer Science,61,1,7,6
24,Math,55,9,1,2
24,Physics,79,0,11,4
24,Chemistry,86,0,15,14
24,Biology,52,4,13,1
24,English,80,6,5,1
24,History,67,1,1,17
24,Computer Science,59,2,1,19
25,Math,67,0,14,9
25,Physics,80,0,4,3
25,Chemistry,39,7,16,9
25,Biology,46,3,4,1
25,English,35,4,1,12
25,History,72,2,14,15
25,Computer Science,45,7,3,7
26,Math,33,7,2,2
26,Physics,56,1,18,18
26,Chemistry,50,4,17,9
26,Biology,90,5,5,0
26,English,34,8,11,13
26,History,63,0,13,12
26,Computer Science,56,8,14,14
27,Math,85,0,3,0
27,Physics,37,0,2,19
27,Chemistry,76,7,13,13
27,Biology,31,9,13,18
27,English,36,2,14,13
27,History,47,9,5,2
27,Computer Science,44,8,4,9
28,Math,68,8,16,6
28,Physics,73,8,16,12
28,Chemistry,54,3,9,2
28,Biology,47,3,14,1
28,English,37,7,16,11
28,History,71,8,4,5
28,Computer Science,81,9,1,12
29,Math,99,4,0,5
29,Physics,99,6,15,3
29,Chemistry,91,7,8,2
29,Biology,60,7,4,3
29,English,53,5,1,19
29,History,33,5,16,5
29,Computer Science,80,8,1,14
30,Math,37,9,18,12
30,Physics,73,4,5,3
30,Chemistry,48,3,0,19
30,Biology,41,0,13,5
30,English,66,3,12,10
30,History,32,0,5,17
30,Computer Science,39,4,9,11
31,Math,31,7,1,19
31,Physics,94,4,8,16
31,Chemistry,38,7,5,2
31,Biology,78,4,11,17
31,English,38,1,11,2
31,History,64,0,7,7
31,Computer Science,40,8,4,13
32,Math,89,2,4,4
32,Physics,55,3,12,9
32,Chemistry,47,7,7,6
32,Biology,43,2,5,0
32,English,52,0,16,0
32,History,95,4,7,7
32,Computer Science,80,6,18,5
33,Math,35,2,6,18
33,Physics,71,3,14,14
33,Chemistry,58,0,19,6
33,Biology,56,3,5,0
33,English,56,6,0,3
33,History,95,9,4,9
33,Computer Science,67,3,12,19
34,Math,85,7,4,14
34,Physics,97,1,18,18
34,Chemistry,65,3,10,4
34,Biology,49,9,7,5
34,English,35,7,14,13
34,History,41,9,12,7
34,Computer Science,91,1,0,14
35,Math,89,3,15,3
35,Physics,34,7,4,7
35,Chemistry,60,9,8,18
35,Biology,58,7,8,10
35,English,52,0,13,4
35,History,50,9,13,3
35,Computer Science,83,6,0,18
36,Math,69,4,14,8
36,Physics,82,8,9,19
36,Chemistry,86,4,8,2
36,Biology,92,3,10,5
36,English,31,6,17,1
36,History,46,2,6,19
36,Computer Science,99,4,0,16
37,Math,58,5,17,16
37,Physics,78,3,7,16
37,Chemistry,30,6,18,18
37,Biology,91,0,12,15
37,English,69,2,17,0
37,History,76,1,1,16
37,Computer Science,67,2,3,0
38,Math,37,6,6,2
38,Physics,61,9,9,18
38,Chemistry,63,0,17,6
38,Biology,37,0,2,7
38,English,83,8,14,4
38,History,96,2,0,14
38,Computer Science,37,1,2,13
39,Math,61,7,13,10
39,Physics,45,3,19,4
39,Chemistry,83,4,13,15
39,Biology,36,9,6,0
39,English,52,4,18,15
39,History,48,3,17,1
39,Computer Science,30,4,19,10
40,Math,31,2,11,19
40,Physics,34,4,5,8
40,Chemistry,82,2,19,11
40,Biology,53,0,9,13
40,English,43,8,7,1
40,History,54,6,8,10
40,Computer Science,33,9,12,1
41,Math,66,5,17,9
41,Physics,70,5,1,16
41,Chemistry,66,8,5,11
41,Biology,56,8,5,7
41,English,41,8,6,9
41,History,74,0,13,1
41,Computer Science,83,0,18,3
42,Math,55,4,10,7
42,Physics,40,3,16,6
42,Chemistry,83,1,14,4
42,Biology,85,0,3,14
42,English,49,2,2,19
42,History,91,1,8,1
42,Computer Science,69,0,0,10
43,Math,71,8,6,2
43,Physics,32,1,4,11
43,Chemistry,73,2,5,1
43,Biology,41,2,4,11
43,English,88,0,16,9
43,History,86,6,16,14
43,Computer Science,41,7,18,7
44,Math,50,0,4,15
44,Physics,99,7,17,11
44,Chemistry,44,9,8,12
44,Biology,55,9,15,6
44,English,46,6,6,13
44,History,36,8,18,15
44,Computer Science,88,6,17,19
45,Math,68,2,17,9
45,Physics,46,7,2,11
45,Chemistry,89,1,2,4
45,Biology,72,7,11,6
45,English,44,7,16,3
45,History,54,1,0,15
45,Computer Science,71,1,2,9
46,Math,63,6,12,12
46,Physics,47,2,6,13
46,Chemistry,58,0,11,15
46,Biology,85,8,9,6
46,English,34,0,16,2
46,History,74,7,17,3
46,Computer Science,47,4,15,0
47,Math,82,8,14,16
47,Physics,97,9,4,4
47,Chemistry,72,5,6,13
47,Biology,40,1,6,19
47,English,33,7,19,18
47,History,86,9,8,16
47,Computer Science,32,7,5,4
48,Math,34,5,14,16
48,Physics,38,2,19,16
48,Chemistry,90,9,2,17
48,Biology,91,0,2,2
48,English,42,7,14,8
48,History,97,4,1,10
48,Computer Science,85,2,8,2
49,Math,54,1,11,9
49,Physics,38,7,4,10
49,Chemistry,88,1,14,5
49,Biology,34,9,17,5
49,English,66,4,12,16
49,History,69,2,2,7
49,Computer Science,69,0,5,18
50,Math,69,0,15,8
50,Physics,42,8,9,3
50,Chemistry,92,5,6,4
50,Biology,74,9,18,9
50,English,39,4,6,17
50,History,31,6,1,12
50,Computer Science,75,0,8,16
51,Math,89,7,12,2
51,Physics,99,2,6,9
51,Chemistry,92,4,3,19
51,Biology,97,0,11,16
51,English,39,5,0,17
51,History,79,3,2,19
