attendance,participation,assignment score,year_of study,number of subjects taken,class size,peer performance,cats,rats,Final exam
7,10,7,5,5,41,50,38,4,66
7,4,1,4,7,107,45,12,2,28
2,20,4,6,4,48,3,40,5,59
14,7,3,1,6,171,60,10,10,60
3,1,10,6,6,59,10,22,6,39
2,15,1,1,4,131,58,11,10,46
12,15,3,3,5,66,94,10,10,71
20,20,3,3,4,150,71,17,9,90
9,10,2,6,3,124,66,23,9,59
1,17,10,3,6,118,81,21,9,69
18,18,8,3,6,78,78,19,6,92
20,9,3,4,3,76,76,32,10,89
2,13,1,1,6,144,32,17,6,38
8,1,3,5,5,121,30,36,2,42
13,17,2,4,4,159,68,23,6,71
11,15,2,4,6,80,40,23,8,64
9,16,5,3,7,152,47,23,4,63
8,5,6,1,6,192,58,22,6,54
7,1,1,2,4,57,97,15,8,43
18,5,1,4,5,101,85,27,6,69
8,11,2,3,4,71,27,40,1,55
17,1,10,5,7,154,86,27,9,80
8,14,9,4,7,94,82,35,8,82
20,4,5,1,5,175,94,24,8,81
16,17,2,3,7,83,21,36,10,83
8,7,10,1,5,148,36,30,1,60
10,7,10,5,3,132,82,27,8,75
4,1,2,3,4,102,55,22,8,37
13,15,2,3,3,110,31,5,1,49
17,14,1,2,7,94,50,24,4,70
12,1,5,5,4,159,53,26,5,54
1,15,3,5,3,50,50,31,3,49
1,4,7,4,4,182,88,32,4,49
16,12,3,4,7,66,24,2,2,49
13,9,5,5,7,162,18,37,3,63
19,4,5,1,3,110,9,10,3,55
2,17,5,2,6,154,72,8,10,54
2,11,1,5,6,166,72,13,9,39
9,19,7,3,5,131,2,39,10,82
16,12,6,3,5,137,10,34,10,82
16,14,10,2,7,79,83,37,1,93
17,17,2,3,7,83,95,35,7,91
16,6,1,5,4,151,64,10,9,57
18,20,3,5,5,107,41,7,2,67
2,20,9,1,4,152,18,7,2,49
13,2,3,5,4,64,44,35,5,58
19,17,5,4,6,95,48,4,4,71
16,14,7,1,5,191,49,9,7,74
19,12,6,3,7,61,60,26,7,86
19,20,8,5,7,53,72,30,6,101
9,15,9,6,3,193,66,23,10,78
3,15,3,1,5,62,17,38,6,57
1,3,6,2,4,134,15,36,2,38
13,11,3,2,4,87,61,16,6,63
17,3,4,2,4,106,8,35,7,68
14,3,10,3,3,44,51,9,4,60
19,10,6,5,6,121,16,12,6,66
13,15,6,1,5,196,51,16,1,65
2,18,2,3,5,178,5,2,2,27
10,14,9,6,4,145,28,1,1,49
18,9,5,2,7,184,69,36,1,78
7,3,4,4,7,154,74,13,4,39
1,14,1,2,5,73,10,37,10,52
9,17,9,4,3,139,83,26,10,86
18,2,7,4,6,199,50,1,6,55
2,16,8,2,7,132,88,5,8,56
15,1,5,3,6,115,25,22,3,51
13,1,2,3,5,45,31,40,6,59
13,8,7,4,5,116,41,40,6,76
20,8,8,6,6,117,99,9,5,77
6,18,6,3,5,62,47,37,1,68
15,15,1,5,3,97,24,17,8,64
11,19,2,2,5,139,4,35,1,64
14,8,5,1,4,164,36,13,8,62
10,8,8,3,4,200,91,3,2,52
2,14,7,4,3,94,3,34,1,50
19,19,6,1,4,136,49,36,2,94
8,19,6,2,4,143,100,3,8,68
1,19,8,1,3,76,91,12,2,58
11,12,1,1,5,192,46,14,2,48
17,12,10,1,4,119,36,24,10,90
15,17,1,6,7,134,13,35,5,70
12,7,10,2,4,186,28,18,1,59
11,3,1,2,4,104,36,25,1,42
17,10,4,2,4,117,3,7,9,61
1,15,10,5,7,172,35,35,6,63
2,17,1,4,7,66,87,2,9,43
6,16,1,2,7,188,51,34,5,59
18,13,1,5,4,176,41,39,2,74
9,2,9,3,3,175,77,26,2,58
3,3,3,2,6,74,80,3,5,28
10,2,8,4,3,125,62,34,9,69
17,10,9,5,7,122,98,14,1,74
6,17,2,6,7,154,94,25,1,55
10,9,8,1,6,185,13,19,9,62
3,15,10,1,4,91,9,40,6,70
4,4,1,2,5,93,62,22,3,34
9,6,6,4,5,74,54,3,8,47
6,3,4,2,5,76,98,23,7,52
19,6,8,3,5,165,39,23,1,70
6,5,10,2,6,113,53,11,7,52
7,1,7,1,4,136,59,37,9,63
13,20,8,1,3,86,34,27,4,84
18,3,9,3,7,173,43,37,10,85
1,11,2,1,6,153,89,40,4,54
6,1,5,6,4,110,58,31,3,44
2,4,4,3,7,186,85,9,9,36
18,13,6,2,3,79,23,28,8,85
15,20,5,6,7,97,14,14,2,65
8,17,9,1,6,44,21,11,1,58
3,15,1,3,4,88,7,17,2,34
3,19,6,1,5,106,20,1,8,48
9,7,5,5,6,185,17,36,3,53
1,9,4,5,7,127,97,40,2,52
1,19,7,4,5,66,86,18,6,61
15,12,6,1,5,88,48,8,10,71
4,19,8,3,6,168,31,2,1,45
1,12,6,5,4,43,30,34,4,51
6,5,7,1,4,74,20,24,9,54
4,3,10,1,3,120,33,40,8,63
17,7,1,6,6,50,83,33,1,66
3,19,5,4,6,117,79,10,5,53
6,2,3,2,7,43,94,23,7,48
5,1,3,2,3,97,12,2,2,17
3,6,7,1,3,174,66,14,4,43
14,15,4,3,3,54,26,19,5,67
1,7,5,3,3,116,91,26,1,43
12,7,6,2,7,116,30,34,5,66
17,15,7,2,5,78,84,16,2,80
9,19,8,1,5,185,54,30,9,84
20,14,8,3,5,108,98,14,8,93
18,4,9,2,3,158,96,33,2,84
7,10,2,6,4,72,89,30,5,58
18,14,10,2,7,186,43,7,10,83
1,4,8,5,7,90,17,1,1,18
18,6,10,5,3,62,46,11,6,72
10,6,2,1,3,190,24,26,10,55
1,14,7,1,4,76,69,29,10,66
7,4,6,5,4,163,5,24,6,44
3,16,8,1,7,176,82,26,3,63
15,14,3,2,7,64,43,15,2,61
17,7,3,5,3,58,21,20,2,56
20,6,8,5,3,41,27,1,7,65
18,16,3,2,4,94,3,22,4,71
17,16,3,6,3,43,54,40,8,90
10,9,2,5,7,143,39,15,10,51
9,19,2,5,5,102,73,28,3,66
14,7,7,1,7,160,26,23,8,68
20,13,3,3,7,161,9,34,5,78
8,8,6,2,4,116,9,18,9,53
12,6,7,1,5,192,87,4,8,60
14,9,6,5,7,127,9,32,1,61
9,9,2,3,3,133,99,26,8,64
11,5,8,1,5,86,99,18,7,69
5,11,7,3,3,155,8,40,6,62
19,11,2,4,5,84,98,12,10,78
6,11,7,4,7,75,22,19,6,52
4,15,4,2,6,165,10,39,1,53
9,12,6,4,4,43,1,6,7,49
12,17,7,2,7,66,98,4,6,72
20,3,4,6,5,76,58,1,5,54
9,12,8,6,6,132,65,38,8,78
11,5,9,1,7,170,17,25,7,62
20,12,2,3,7,179,93,24,10,86
20,20,10,6,4,67,58,2,5,87
14,12,2,5,7,142,6,20,2,51
12,2,9,5,7,187,80,5,8,55
5,8,9,1,7,74,5,14,7,48
3,6,7,5,4,141,100,10,7,46
16,13,8,2,4,87,50,34,9,92
11,18,4,5,4,176,24,13,3,56
4,1,4,2,7,45,53,23,9,42
20,17,9,3,3,88,91,30,4,103
13,20,8,3,6,47,15,40,1,84
13,10,4,6,3,129,40,21,2,56
7,20,6,4,3,95,81,29,7,79
15,12,6,1,5,62,77,26,5,80
12,9,8,6,5,190,23,7,9,57
19,3,1,6,7,94,72,9,9,58
1,5,1,4,4,58,53,32,4,36
8,6,4,4,4,117,12,10,4,36
2,6,10,4,3,177,68,19,4,48
7,5,1,2,7,197,4,30,9,43
13,5,6,5,3,69,58,4,9,56
8,3,8,4,3,112,19,24,9,55
11,1,7,6,5,180,17,27,7,53
20,19,3,6,5,178,34,3,1,64
12,18,3,5,4,153,80,22,10,78
12,18,6,2,5,55,8,31,3,73
19,8,1,6,7,131,2,16,1,48
13,20,9,3,5,82,24,27,6,85
8,13,10,2,3,163,20,36,10,80
19,8,7,3,3,166,3,24,5,72
15,12,6,4,5,189,23,34,7,77
2,12,10,2,4,169,71,20,1,54
6,18,5,6,3,125,88,4,2,51
10,15,9,1,6,79,13,28,8,76
13,17,2,4,7,54,66,37,7,81
13,17,6,1,7,55,40,31,8,84
9,12,4,4,3,48,32,12,10,57
12,14,7,2,3,120,100,22,2,76
3,17,10,2,4,185,61,21,9,70
16,11,1,1,6,70,96,14,4,66
18,7,9,2,3,178,36,4,9,70
5,10,10,3,5,198,65,8,9,57
12,4,5,2,7,183,98,34,7,71
8,11,2,2,3,82,77,4,7,49
11,3,5,1,4,138,31,32,1,53
20,10,1,5,3,182,68,7,2,59
15,2,7,3,6,94,72,32,6,72
12,2,10,1,7,71,90,31,3,72
9,16,4,5,4,106,56,5,4,52
12,5,2,6,4,133,81,25,10,62
14,8,9,3,3,188,57,4,1,57
5,16,10,6,4,104,75,27,3,69
16,1,8,2,5,88,23,30,4,66
9,6,2,4,3,48,47,29,5,52
10,4,4,3,4,52,52,12,2,42
9,6,2,2,4,168,75,21,10,57
16,4,7,6,6,44,52,34,5,73
2,1,3,6,4,167,9,31,2,25
17,19,2,4,3,138,68,36,7,91
11,1,10,1,3,86,31,35,1,62
8,9,2,5,4,129,48,26,5,50
5,1,6,6,3,58,93,5,4,35
2,5,4,5,6,147,20,36,5,40
6,15,5,4,4,163,39,32,2,58
1,15,7,4,5,186,16,17,8,48
14,8,7,3,6,91,72,37,10,86
14,14,4,2,7,44,18,23,5,66
5,14,9,2,5,52,50,37,2,69
2,12,2,5,6,140,100,32,2,49
14,19,2,2,4,160,93,12,5,72
16,2,5,4,3,118,70,13,3,56
17,11,7,3,5,117,53,10,5,70
8,14,3,6,7,84,11,10,7,45
11,14,2,5,5,76,85,18,10,68
9,14,10,4,5,118,99,23,1,73
10,19,9,5,7,153,59,10,9,74
17,12,9,6,3,47,82,3,2,71
10,6,3,1,5,99,84,24,8,62
20,9,1,5,3,71,85,1,6,62
6,14,5,5,7,165,30,23,9,57
9,17,2,4,3,134,22,23,2,54
7,1,4,2,7,43,66,15,9,45
14,10,9,2,3,179,53,3,7,66
20,17,5,1,6,86,6,27,9,89
1,19,8,6,7,111,69,29,3,61
